domain,name,product_category,revenue_range,Total visits - November 2017,Total visits -  June 2017,Total visits - October 2017,SimilarWeb Rank-October,MUV - October
silverskyimports.com,Sky Imports,"Art, Entertainment and Recreation",$1 mil. - $5 mil.,5479.211319,48649.38485,11662.78538,1584691,1405.60188
usacoinbook.com,USA Coin Book,Others,$1 mil. - $5 mil.,454698.2724,501765.8711,1500313.43,57522,56399.82661
txstarbooks.com,Texas Star Books,Others,$1 mil. - $5 mil.,158.7182087,Data not found,140.8132408,27974496,Data not found
abcbilliards.net,ABC Billiards,Sporting Goods,$1 mil. - $5 mil.,137.1082154,Data not found,128.2361588,22584927,90.96699518
swimwear360.com,Swimwear 360,Style and Fashion,$1 mil. - $5 mil.,2389.420027,4089.561236,6238.560966,5712576,1133.250701
gbindustrialdirect.com,GB Industrial Direct,Others,$1 mil. - $5 mil.,2111.664718,2235.411477,1994.509751,4901938,413.2737652
icuvaping.com,ICU Vaping LLC,Food And Beverage,$1 mil. - $5 mil.,Data not found,Data not found,Data not found,Data not found,113.9189993
far-from-normal.com,"Far From Normal Supply, Inc",Consumer Electronics & Appliances,$1 mil. - $5 mil.,1107.055938,940.3196213,2722.573059,6678410,434.5390006
globalgold.co.uk,GlobalGold,Others,$1 mil. - $5 mil.,3811.764794,3055.327446,2253.637411,5443806,653.5439971
herondalefarm.com,Herondale Farm Inc,Others,$1 mil. - $5 mil.,Data not found,Data not found,278.1158113,18627173,67.51947746
clubrsx.com,Club RSX Inc,Automotive and Vehicles,$1 mil. - $5 mil.,414467.7007,367530.0024,570618.4715,107207,61028.59134
officeanything.com,Office Anything,Home Furnishings and Furniture,$1 mil. - $5 mil.,64318.35956,5851.197327,3886.684482,4811593,3243.559567
thepineclub.com,The Pine Club,Food And Beverage,$1 mil. - $5 mil.,11489.68388,3045.265606,1188.938775,8945638,1099.791561
supernaturalsilver.com,Super Natural Silver,Business and Industrial,$1 mil. - $5 mil.,421.5721174,109.5545987,143.3660319,27796522,92.01374582
flooringsuperstore.com,Flooring SuperStore,Home Furnishings and Furniture,$1 mil. - $5 mil.,153978.5413,98425.18348,254334.6981,258242,28928.21901
arrowheadstore.com,Arrowhead Store,Style and Fashion,$1 mil. - $5 mil.,2036.129384,2936.481641,1497.930556,5689105,1283.395612
woodstockmusicshop.com,Woodstock Music Shop,Hobbies and Interests,$1 mil. - $5 mil.,464.0075696,187.928663,14875.33126,4125238,135.5600415
mesindy.com,Mechanical Electrical Systems Inc.,Business and Industrial,$1 mil. - $5 mil.,376.1632073,322.8950425,311.6390264,18331651,81.05221757
fleurtseattle.com,Fleurt,Gift and Novelty,$1 mil. - $5 mil.,1364.409244,1375.764643,72.53547586,Data not found,Data not found
ledsticklights.com,LED StickLights,Technology and Computing,$1 mil. - $5 mil.,Data not found,Data not found,Data not found,Data not found,Data not found
ivylanemarietta.com,Ivy Lane Boutique,Style and Fashion,$1 mil. - $5 mil.,1527.118604,358.6676273,508.7289933,12467639,95.48394038
robynrhodes.com,Robyn Rhodes,Style and Fashion,$1 mil. - $5 mil.,712.0554184,812.3404282,1578.72229,8451472,56.67561125
impressedolive.com,The ImPressed Olive LLC,"Art, Entertainment and Recreation",$1 mil. - $5 mil.,Data not found,Data not found,120.5882095,20284158,Data not found
diacro.com,Di-Acro Inc,Technology and Computing,$1 mil. - $5 mil.,1403.247393,706.2182673,538.3875773,12743953,421.047946
damseeds.ca,William Dam Seeds Ltd.,Food And Beverage,$1 mil. - $5 mil.,4885.797364,14009.7523,31928.68652,1167570,4269.92566
bobbysikes.com,Bobby Sikes Online Gallery,Others,$1 mil. - $5 mil.,243.8834073,Data not found,Data not found,Data not found,79.19006467
hamiltonbeach.ca,Hamilton Beach Brands Canada Inc,General Merchandise,$1 mil. - $5 mil.,43423.39752,12543.06261,57405.5935,1177715,7811.510442
propersoap.com,Proper,Others,$1 mil. - $5 mil.,Data not found,Data not found,Data not found,Data not found,Data not found
flourishboutique.com,Flourish Boutique,Apparel and Accessories,$1 mil. - $5 mil.,7490.686426,Data not found,108.0462192,30734444,179.7447282
badgecards.com,Capitol Printing,Media and Publications,$1 mil. - $5 mil.,1027.524185,172.6413007,176.6051818,23454539,73.99608798
safetyfirstdiving.com,Safety First Dive Equipment LLC,Science,$1 mil. - $5 mil.,432.7917422,176.4528233,137.5178775,22362356,115.2723401
favorsbygina.com,Favors,Style and Fashion,$1 mil. - $5 mil.,218.9945475,Data not found,Data not found,Data not found,72.41676817
personalizedcandlestore.com,Personalized Candle Store,Others,$1 mil. - $5 mil.,84.34905988,Data not found,124.0595467,20832931,Data not found
penbaypilot.com,PenBayPilot,Media and Publications,$1 mil. - $5 mil.,134881.7604,32814.53457,105332.8963,634998,11280.73352
southside-village-barbershop.com,Southside Village Barber Shop,Medical and Wellness,$1 mil. - $5 mil.,Data not found,Data not found,Data not found,Data not found,Data not found
cafemam.com,Café Mam,Food And Beverage,$1 mil. - $5 mil.,2971.738555,3881.184364,4053.464941,4217317,1207.640589
burlapandblingdesignstudio.com,Bling Design Studio,Style and Fashion,$1 mil. - $5 mil.,Data not found,Data not found,Data not found,Data not found,Data not found
pergolina.com,Pergolina,Business and Industrial,$1 mil. - $5 mil.,165.4703263,Data not found,Data not found,Data not found,Data not found
mayberryrugs.com,Mayberry Rugs,Home Furnishings and Furniture,$1 mil. - $5 mil.,228.0526947,1049.765505,376.2546777,14291078,105.0862988
seyco.com,Seyco,Building Material and Garden Equipment and Supplies,$1 mil. - $5 mil.,2491.3853,2633.19848,2468.05126,6110729,450.5302444
lordwallington.com,Lord Wallington,Style and Fashion,$1 mil. - $5 mil.,555.4684965,108.1758631,Data not found,Data not found,83.72746209
measurefish.com,Measure Net,Science,$1 mil. - $5 mil.,Data not found,388.1828985,257.2946013,15510910,Data not found
woodmarkets.com,R.E. Taylor & Associates Ltd.,Others,$1 mil. - $5 mil.,20574.90253,1779.714116,4496.177695,5823235,787.3680536
sawinesonline.co.uk,SA Wines Online Limited,Food And Beverage,$1 mil. - $5 mil.,11957.40835,2705.756461,10991.71107,3488950,1315.133783
bros.ca,Bros Productions inc,"Art, Entertainment and Recreation",$1 mil. - $5 mil.,954.766839,215.2805012,121.5347496,21784207,Data not found
maruswim.com,Maruswim Ltd,Apparel and Accessories,$1 mil. - $5 mil.,1832.505057,1151.192961,596.5792669,10388237,327.1687938
boxersnyc.com,Boxers NYC,Technology and Computing,$1 mil. - $5 mil.,8754.911409,3494.431701,1604.060253,8071644,984.029492
capitalbicyclehire.com.au,Capital Bicycle Hire,Finance,$1 mil. - $5 mil.,Data not found,232.4806664,Data not found,Data not found,126.6149248
silicadesiccants.com,SilicaDesiccants.com,Business and Industrial,$1 mil. - $5 mil.,Data not found,Data not found,Data not found,Data not found,Data not found
kellydunn.com,Kelly Dunn,"Art, Entertainment and Recreation",$1 mil. - $5 mil.,Data not found,Data not found,14.98926175,37591558,Data not found
dainshoppe.com,The Dain Shoppe,Apparel and Accessories,$1 mil. - $5 mil.,800.4386308,682.8901501,318.5530821,19596051,327.982241
thepuppetstore.com,The Puppet Store,"Children, Family and Parenting",$1 mil. - $5 mil.,15174.90143,90350.71035,157000.6921,360906,7272.483942
briscoetire.com,Briscoe Alignment & Tire,Automotive and Vehicles,$1 mil. - $5 mil.,141.4424208,403.2885641,121.0138332,20250393,Data not found
warehouseradio.com,Warehouse Radio,Consumer Electronics & Appliances,$1 mil. - $5 mil.,Data not found,Data not found,Data not found,Data not found,Data not found
t-falusa.com,T-FAL USA,Home Furnishings and Furniture,$1 mil. - $5 mil.,169149.1202,41802.52139,126692.5076,470217,20896.30314
charleynco.com,Unique Gifts,Business and Industrial,$1 mil. - $5 mil.,513.6570397,363.8903886,Data not found,Data not found,86.43648108
knifeshopaustralia.com.au,Knife Shop Australia,"Art, Entertainment and Recreation",$1 mil. - $5 mil.,6123.485648,10142.62126,10697.31925,2316920,6980.100231
cascobaybutter.com,Casco Bay Butter Co,Food And Beverage,$1 mil. - $5 mil.,Data not found,169.9437,241.3586797,18969214,Data not found
cooper9.com,COOPER 9.COM,Style and Fashion,$1 mil. - $5 mil.,362.2811802,173.0591726,Data not found,Data not found,Data not found
takeheartshop.com,Take Heart Shop,Health and Fitness,$1 mil. - $5 mil.,974.0953673,1089.77107,731.693589,11416586,147.7176374
ezentrees.com,Easy Entrées,Food And Beverage,$1 mil. - $5 mil.,1657.898479,190.339746,Data not found,Data not found,64.59936286
jeepair.com,Jeep Air,Technology and Computing,$1 mil. - $5 mil.,2253.27808,3883.491773,3849.268591,5411106,1495.952403
20buckspinshop.com,BUCK SPIN,"Art, Entertainment and Recreation",$1 mil. - $5 mil.,Data not found,Data not found,121.9759939,29479659,Data not found
lehighvalleyabrasives.com,Lehigh Valley Abrasives,Technology and Computing,$1 mil. - $5 mil.,16811.92062,7259.2535,100605.8013,787073,3795.229994
pvcbendit.com,PVC Bendit Inc,Business and Industrial,$1 mil. - $5 mil.,2463.229068,2246.846973,33031.33816,2221512,1661.022812
airstrikeinc.com,Airstrike LLC,Technology and Computing,$1 mil. - $5 mil.,38199.62747,1511.949932,413.0099137,11877687,456.7113161
emfit.com,Emfit Ltd,Business and Industrial,$1 mil. - $5 mil.,37247.77388,56460.58721,19803.37609,1605337,6045.718556
ralph-marlin.com,Ralph-Marlin.com,Science,$1 mil. - $5 mil.,127.4395554,Data not found,Data not found,Data not found,Data not found
chicagoglassblocks.com,Chicago Glass Blocks,Building Material and Garden Equipment and Supplies,$1 mil. - $5 mil.,414.6001128,172.4276095,Data not found,Data not found,Data not found
irugs.co.uk,iRugs UK,"Art, Entertainment and Recreation",$1 mil. - $5 mil.,160866.4233,110917.8833,199481.8828,241939,18703.63653
afriware.net,Afri-Ware Inc.,Other,$1 mil. - $5 mil.,Data not found,Data not found,Data not found,Data not found,Data not found
diamondbanque.com,The Diamond Banque,Style and Fashion,$1 mil. - $5 mil.,310.8926646,Data not found,103.9150991,27513166,17.96825843
beachaudio.com,Beach Audio News,Consumer Electronics & Appliances,$1 mil. - $5 mil.,22554.83287,11707.48202,182656.2198,574384,6499.580367
slsstore.com,Sound & Lighting Solutions Inc,Technology and Computing,$1 mil. - $5 mil.,478.6088782,731.2376349,15239.89356,1836017,82.83448199
spectrametal.com,SpectraMetal,Business and Industrial,$1 mil. - $5 mil.,310.3647137,800.1764099,497.1672991,11309183,313.0998763
fortfudge.com,Fort Fudge Shop Inc,Food And Beverage,$1 mil. - $5 mil.,Data not found,Data not found,Data not found,Data not found,Data not found
emuoilbodycare.com,emuoilbodycare.com,Business and Industrial,$1 mil. - $5 mil.,393.4529215,1066.740956,473.3297025,16387749,329.8064509
opr.com.au,O'Connors Property Reports Pty Ltd,Finance,$1 mil. - $5 mil.,522.8291967,558.6599516,193.3776597,20557165,35.97989333
aaaprice.com,AAAPrice.com Inc,Consumer Electronics & Appliances,$1 mil. - $5 mil.,450.4244036,461.669921,886.4046579,9546713,385.3791318
beautyfresh.co.uk,Beauty Fresh Ltd,Style and Fashion,$1 mil. - $5 mil.,75442.28309,1564.35851,79879.63915,1140349,730.2495224
electroflip.com,ElectroFlip LLC,Technology and Computing,$1 mil. - $5 mil.,8108.300326,47336.33071,43070.57399,1656417,2226.512988
batteries4broadcast.com,Batteries 4 Broadcast Inc,Technology and Computing,$1 mil. - $5 mil.,1583.697357,360.4384975,311.9844774,19774198,483.3613102
qualitywoods.com,Quality Woods Furniture,Building Material and Garden Equipment and Supplies,$1 mil. - $5 mil.,625.0504479,473.3456448,1220.377954,9095423,712.5659188
johnathankayne.com,Johnathan Kayne LLC,Style and Fashion,$1 mil. - $5 mil.,20073.91935,2811.987201,19096.66556,2204571,1117.987582
bareenglish.com,Bare English & Co,"Art, Entertainment and Recreation",$1 mil. - $5 mil.,278.9471256,209.6058106,242.1494249,12675977,40.55399222
used-pcs.com,Used-PCs.com Corporation,Consumer Electronics & Appliances,$1 mil. - $5 mil.,4784.281446,7618.628823,2864.159148,5438154,1349.13132
protechshocks.co.uk,Protech Shocks Ltd,"Art, Entertainment and Recreation",$1 mil. - $5 mil.,181.3891589,762.913726,56296.05669,1535969,9.135960408
airserco.com,Airserco Manufacturing Company,Building Material and Garden Equipment and Supplies,$1 mil. - $5 mil.,82.85676659,317.9795971,258.047109,21568103,Data not found
greatamericantavern.net,Great American Tavern,"Art, Entertainment and Recreation",$1 mil. - $5 mil.,Data not found,Data not found,72.34245429,33268497,Data not found
cushionpack.co.uk,CushionPack,Home Furnishings and Furniture,$1 mil. - $5 mil.,Data not found,155.8170463,83.52040943,32375800,85.60662754
liberoferrero.com,Libero Ferrero,General Merchandise,$1 mil. - $5 mil.,547.2035756,454.3512079,82.70992439,32430925,150.7781351
rmckenzie.com,RMcKenzie Enterprises,General Merchandise,$1 mil. - $5 mil.,154.5635386,167.2506398,Data not found,Data not found,Data not found
